ID,Deskripsi Produk,Merek,Kategori,Harga Sewa,Preferensi Pengguna,Jumlah Stok
1,Kamera Mirrorless,Sony,Camera,200000,"Fotografi, Ringan, Kinerja",5
2,Speaker Bluetooth,JBL,Speaker,100000,"Bergaya, Portabel",3
3,Proyektor Mini,Epson,Proyektor,150000,"Kinerja, Mudah Digunakan",2
4,Playstation 5,Sony,Playstation,250000,"Mewah, Gaming",4
5,Tenda Camping 4 Orang,Coleman,Tenda,50000,"Nyaman, Ringan, Tahan Lama",6
6,Sepatu Olahraga,Nike,Sepatu,80000,"Bergaya, Nyaman",10
7,Matras Angin Tidur,Intex,Matras,30000,"Nyaman, Praktis",8
8,Tas Punggung Anti Air,The North Face,Tas,120000,"Bergaya, Tahan Air",3
9,Kamera DSLR,Canon,Camera,180000,"Fotografi, Kualitas Gambar",7
10,Speaker Portable,Bose,Speaker,150000,"Kinerja, Suara Berkualitas",5
11,Kursi Lipat,Cosco,Furniture,50000,"Praktis, Ringan",8
12,Headset Wireless,Sennheiser,Headset,80000,"Berkualitas Suara, Nyaman",4
13,Laptop Gaming,ASUS,Laptop,300000,"Performa Tinggi, Gaming",3
14,Mesin Cuci Front Load,LG,Mesin Cuci,250000,"Efisien, Kapasitas Besar",6
15,Smartphone Samsung,Samsung,Smartphone,150000,"Mewah, Kamera Unggul",9
16,Sepeda Lipat,Polygon,Sepeda,70000,"Ringan, Portabel",5
17,TV LED 32 Inch,Sony,TV,120000,"Kualitas Gambar, Hemat Energi",2
18,Soundbar Samsung,Samsung,Soundbar,180000,"Suara Jernih, Desain Elegan",7
19,Gitar Akustik,Yamaha,Alat Musik,90000,"Mudah Dimainkan, Kualitas Bunyi",4
20,Meja Belajar,Krisbow,Furniture,60000,"Kuat, Praktis",10
21,Smartwatch Apple,Apple,Smartwatch,250000,"Elegan, Fitur Lengkap",3
22,Set Perkakas Tangan,Stanley,Perkakas,80000,"Kualitas, Multifungsi",6
23,Blender Philips,Philips,Dapur,70000,"Kinerja Tinggi, Bahan Berkualitas",9
24,Set Perlengkapan BBQ,Weber,Outdoor,150000,"Praktis, Tahan Lama",4
25,Videocam Full HD,Sony,Videocam,200000,"Kualitas Rekaman, Portabel",5
26,Mixer Audio Behringer,Behringer,Audio,120000,"Kualitas Suara, Mudah Digunakan",6
27,Koper Hardcase,Samsonite,Koper,100000,"Tahan Air, Kuat",8
28,Smart Lock,Yale,Perangkat Keamanan,150000,"Mudah Dipasang, Keamanan Tinggi",3
29,Printer Multifungsi,Canon,Printer,80000,"Cepat, Kualitas Cetak Tinggi",7
30,Kursi Kantor,Ergonomic,Furniture,100000,"Nyaman, Dukungan Punggung",10
31,Monitor Gaming,ASUS,Monitor,250000,"Refresh Rate Tinggi, Kualitas Gambar",2
32,Drone DJI,DJI,Drone,300000,"Kamera Terbang, Stabil",4
33,Alat Fitness Treadmill,Reebok,Alat Fitness,200000,"Fitur Lengkap, Tahan Lama",6
34,Perangkat Streaming Roku,Roku,Perangkat Streaming,80000,"Kualitas Streaming, Mudah Digunakan",8
35,Set Perkakas Dapur,OXO,Dapur,70000,"Kualitas, Ergonomis",10
36,Mikrofon Studio,Audio-Technica,Mikrofon,120000,"Rekaman Berkualitas, Pengurangan Noise",4
37,Monitor Layar Sentuh,Dell,Monitor,150000,"Interaksi Mudah, Kualitas Gambar",5
38,Kamera Aksi GoPro,GoPro,Kamera Aksi,180000,"Tahan Air, Kualitas Rekaman Tinggi",7
39,Set Alat Pancing,Penn,Outdoor,80000,"Kuat, Tahan Lama",6
40,Keyboard Mechanical,Logitech,Keyboard,100000,"Responsif, Desain Ergonomis",9
41,Kursi Lipat Plastik,IKEA,Furniture,50000,"Praktis, Ringan",8
42,Headset Gaming,Razer,Headset,150000,"Kualitas Suara, Kenyamanan",5
43,Proyektor Home Theater,BenQ,Proyektor,200000,"Kualitas Gambar, Kinerja Tinggi",4
44,Smart TV Samsung,Samsung,Smart TV,250000,"Resolusi Tinggi, Akses Streaming",3
45,Mesin Jahit Portable,Singer,Mesin Jahit,80000,"Portabel, Mudah Digunakan",6
46,Kulkas 2 Pintu,Sharp,Kulkas,300000,"Kapasitas Besar, Hemat Energi",2
47,Kamera Polaroid,Fujifilm,Kamera,180000,"Instan, Gaya Retro",4
48,Speaker Bookshelf,KEF,Speaker,200000,"Kualitas Suara, Desain Elegan",5
49,Gitar Listrik,Ibanez,Alat Musik,250000,"Suara Nada Tinggi, Gaya Rock",7
50,Kompor Gas Portable,Midea,Dapur,70000,"Praktis, Hemat Energi",8
51,Smartphone iPhone,Apple,Smartphone,800000,"Kualitas Premium, Performa Tinggi",3
52,Set Perkakas Listrik,Bosch,Perkakas,150000,"Kualitas, Keandalan",6
53,Blender Ninja,Ninja,Dapur,100000,"Kinerja Tinggi, Mudah Dibersihkan",5
54,Kamera Vlogging,Sony,Kamera,250000,"Vlogging, Portabel",4
55,Laptop Ultrabook,HP,Laptop,300000,"Ringan, Performa Tinggi",3
56,Set Alat Makan 12 Orang,Oneida,Dapur,150000,"Elegan, Tahan Lama",7
57,Set Drum Elektrik,Roland,Alat Musik,500000,"Suara Realistis, Pelatihan Lebih Mudah",2
58,Set Perlengkapan Camping,Coleman,Outdoor,200000,"Praktis, Tahan Lama",4
59,Printer Wireless,HP,Printer,80000,"Cetak Berkualitas, Mudah Digunakan",6
60,Kursi Eksekutif,Steelcase,Furniture,150000,"Nyaman, Desain Profesional",4
61,Monitor Ultra-Wide,LG,Monitor,300000,"Tampilan Luas, Kualitas Gambar Tinggi",2
62,Drone DJI Mini,DJI,Drone,250000,"Portabel, Kualitas Rekaman Tinggi",3
63,Alat Fitness Elliptical,NordicTrack,Alat Fitness,200000,"Pelatihan Tubuh Utuh, Monitor Kesehatan",5
64,Perangkat Streaming Chromecast,Google,Perangkat Streaming,80000,"Streaming Mudah, Akses Banyak Aplikasi",8
65,Set Pisau Dapur,Wusthof,Dapur,150000,"Tajam, Tahan Lama",6
66,Mikrofon Condenser,Neumann,Mikrofon,200000,"Rekaman Berkualitas, Responsif",4
67,Monitor Gaming Acer,Acer,Monitor,250000,"Refresh Rate Tinggi, Desain Gaming",3
68,Kamera Instant Polaroid,Fujifilm,Kamera,180000,"Instan, Gaya Retro",4
69,Speaker Soundbar,Harman Kardon,Speaker,300000,"Suara Kualitas Tinggi, Desain Elegan",5
70,Gitar Bass,Fender,Alat Musik,250000,"Suara Rendah, Tampilan Keren",7
71,Kompor Induksi,Philips,Dapur,70000,"Efisien, Mudah Digunakan",8
72,Smartphone Google Pixel,Google,Smartphone,800000,"Kualitas Kamera, Pengalaman Android Murni",3
73,Set Perkakas Tangan DeWalt,DeWalt,Perkakas,200000,"Kualitas, Keandalan",4
74,Blender KitchenAid,KitchenAid,Dapur,150000,"Kinerja Tinggi, Desain Elegan",5
75,Kamera Action GoPro,GoPro,Kamera,250000,"Tahan Air, Rekaman Aktivitas",7
76,Laptop Convertible,Lenovo,Laptop,300000,"Fleksibel, Kualitas Build Tinggi",3
77,Set Alat Makan 6 Orang,Oneida,Dapur,120000,"Elegan, Tahan Lama",6
78,Set Drum Akustik,Pearl,Alat Musik,600000,"Suara Nada Tinggi, Kualitas Build Tinggi",2
79,Kompor Gas Built-in,Rinnai,Dapur,200000,"Desain Stylish, Efisien",4
80,Smart TV LG,LG,Smart TV,250000,"Kualitas Gambar, Akses Streaming",3
81,Mesin Jahit Profesional,Brother,Mesin Jahit,300000,"Kinerja Tinggi, Fitur Lengkap",5
82,Kulkas Mini,Panasonic,Kulkas,80000,"Kompak, Hemat Energi",6
83,Kamera DSLR Nikon,Nikon,Kamera,200000,"Fotografi, Kualitas Gambar Tinggi",7
84,Speaker Bluetooth Sony,Sony,Speaker,150000,"Portabel, Suara Jernih",5
85,Set Alat Musik Tradisional,Handmade,Alat Musik,50000,"Suara Autentik, Kualitas Riset",8
86,Set Alat Tukang,Klein Tools,Perkakas,250000,"Kualitas, Ketahanan Tinggi",6
87,Blender Hamilton Beach,Hamilton Beach,Dapur,80000,"Mudah Digunakan, Kualitas",10
88,Kamera Mirrorless Canon,Canon,Camera,200000,"Fotografi, Kualitas Build Tinggi",5
89,Laptop Gaming MSI,MSI,Laptop,400000,"Performa Tinggi, Desain Gaming",4
90,Speaker Portable JBL,JBL,Speaker,150000,"Portabel, Suara Kualitas Tinggi",5
91,Tenda Camping 6 Orang,Coleman,Tenda,80000,"Nyaman, Ringan, Tahan Lama",6
92,Sepatu Lari,New Balance,Sepatu,120000,"Nyaman, Performa Tinggi",8
93,Matras Angin Tidur Double,King Koil,Matras,150000,"Nyaman, Mudah Digunakan",5
94,Tas Ransel Anti Air,Under Armour,Tas,200000,"Tahan Air, Desain Stylish",4
95,Kamera Instant Leica,Leica,Kamera,250000,"Instan, Desain Klasik",7
96,Speaker Bluetooth Bose,Bose,Speaker,300000,"Suara Berkualitas, Desain Elegan",5
97,Gitar Elektrik,Gibson,Alat Musik,800000,"Suara Nada Tinggi, Desain Keren",6
98,Kompor Gas Tanam,Electrolux,Dapur,200000,"Desain Stylish, Efisien",4
99,Smartphone OnePlus,OnePlus,Smartphone,600000,"Kualitas Premium, Performa Tinggi",3
100,Set Alat Pancing Shimano,Shimano,Outdoor,150000,"Kualitas, Keandalan",6
101,Set Alat BBQ,Weber,Outdoor,200000,"Mudah Digunakan, Kualitas Tinggi",8
102,Smart TV Sony,Sony,Smart TV,300000,"Kualitas Gambar, Akses Streaming",5
103,Kursi Malas,Intex,Furniture,100000,"Nyaman, Portabel",10
104,Drone DJI Phantom,DJI,Drone,500000,"Kamera Terbang, Stabil",4
105,Alat Fitness Stationary Bike,Schwinn,Alat Fitness,250000,"Fitur Lengkap, Pelatihan Kardio",6
106,Proyektor Mini,AAXA,Proyektor,150000,"Portabel, Kualitas Gambar Tinggi",7
107,Set Perkakas Listrik Makita,Makita,Perkakas,400000,"Kualitas, Keandalan",4
108,Blender Oster,Oster,Dapur,80000,"Pemrosesan Makanan Cepat, Mudah Dibersihkan",8
109,Kamera Mirrorless Sony,Sony,Kamera,350000,"Fotografi, Kualitas Gambar Tinggi",5
110,Laptop Apple MacBook,Apple,Laptop,800000,"Desain Stylish, Kualitas Build Tinggi",3
111,Speaker Bluetooth JBL,JBL,Speaker,200000,"Portabel, Suara Kualitas Tinggi",5
112,Tenda Camping 8 Orang,Coleman,Tenda,120000,"Nyaman, Ruang Luas",6
113,Sepatu Basket,Nike,Sepatu,250000,"Nyaman, Performa Tinggi",7
114,Matras Angin Tidur Queen,Simmons,Matras,200000,"Nyaman, Tahan Lama",6
115,Tas Travel,The North Face,Tas,250000,"Kuat, Tahan Lama",7
